1,Wii Sports,Wii,2006,Nintendo,82.74
3,Mario Kart Wii,Wii,2008,Nintendo,35.82
4,Wii Sports Resort,Wii,2009,Nintendo,33.0
8,Wii Play,Wii,2006,Nintendo,29.02
9,New Super Mario Bros. Wii,Wii,2009,Nintendo,28.62
14,Wii Fit,Wii,2007,Nintendo,22.72
15,Wii Fit Plus,Wii,2009,Nintendo,22.0
40,Super Smash Bros. Brawl,Wii,2008,Nintendo,13.04
49,Super Mario Galaxy,Wii,2007,Nintendo,11.52
61,Just Dance 3,Wii,2011,Ubisoft,10.26
69,Just Dance 2,Wii,2010,Ubisoft,9.52
79,Wii Party,Wii,2010,Nintendo,8.49
81,Mario Party 8,Wii,2007,Nintendo,8.42
86,Mario & Sonic at the Olympic Games,Wii,2007,Sega,8.06
92,Super Mario Galaxy 2,Wii,2010,Nintendo,7.69
